seller-sku	fulfillment-channel-sku	asin	condition-type	Warehouse-Condition-code	Quantity Available
5F7374B6-BLACK-10/12	B07578D4GR	B07578D4GR	NewItem	SELLABLE	0
5F7374B1-BLACK-2T	B0757467Z6	B0757467Z6	NewItem	SELLABLE	0
5F2501C7-BLACK-L	B01LZQFQ0T	B01LZQFQ0T	NewItem	SELLABLE	0
5F56967-LIME-L	B076B5K9JN	B076B5K9JN	NewItem	SELLABLE	36
5F52670-TAN-12M	B00VE0AMAS	B00VE0AMAS	NewItem	SELLABLE	0
5F67597-LIME-M	B076B442VQ	B076B442VQ	NewItem	SELLABLE	5
5F2501C3-BLACK-7/8	B01LWLXQ22	B01LWLXQ22	NewItem	SELLABLE	0
5F52671-Black-3T	B013UNVT9O	B013UNVT9O	NewItem	SELLABLE	0
5F7374B6-BLACK-5/6	B075768NGF	B075768NGF	NewItem	SELLABLE	0
5F2552D4-BLACK-5/6	B01LXS49U9	B01LXS49U9	NewItem	SELLABLE	0
5F2552D5-BLACK-12/14	B01LXS41M9	B01LXS41M9	NewItem	SELLABLE	0
5F52670-Black-24M	B00VE0AM62	B00VE0AM62	NewItem	SELLABLE	0
5F52670-PINK-18M	B00VE0AM5S	B00VE0AM5S	NewItem	SELLABLE	0
5F52670-TAN-24M	B00VE0AVPE	B00VE0AVPE	NewItem	SELLABLE	0
5F67597-LIME-L	B076B35PX6	B076B35PX6	NewItem	SELLABLE	0
5F7374B6-BLACK-14/16	B075779PX8	B075779PX8	NewItem	SELLABLE	0
2F6388A5 - HTHR GREY - SIZE 14/16	B01N6BAQY9	B01N6BAQY9	NewItem	SELLABLE	0
5F52670-PINK-24M	B00VE0AM0S	B00VE0AM0S	NewItem	SELLABLE	0
5F52670-Black-12M	B00VE0AMIK	B00VE0AMIK	NewItem	SELLABLE	0
2F60503 - BLACK - SIZE 10/12	B01N48ENU4	B01N48ENU4	NewItem	SELLABLE	0
5F2552C1-BLACK-3T	B01LZ31FUQ	B01LZ31FUQ	NewItem	SELLABLE	0
5F52171-LILAC-4T	B013UNVDJA	B013UNVDJA	NewItem	SELLABLE	0
5F67597-LIME-2XL	B076B9T36D	B076B9T36D	NewItem	SELLABLE	0
5F7374B6-BLACK-18	B07576PRGC	B07576PRGC	NewItem	SELLABLE	0
5F4209A1-VANILLA-2T	B0134L6R3U	B0134L6R3U	NewItem	SELLABLE	0
2F60503 - PINK - SIZE 14	B01MQQJ7UY	B01MQQJ7UY	NewItem	SELLABLE	0
2F6388A5 - HTHR GREY - SIZE 18/20	B01NBF2IH7	B01NBF2IH7	NewItem	SELLABLE	0
5F56967-LIME-2XL	B076B3WVV7	B076B3WVV7	NewItem	SELLABLE	0
5S73645-DEEP BLACK(001)-18/20	B07N3426FJ	B07N3426FJ	NewItem	SELLABLE	56
5F7634B7-BLACK-XL	B075772R3T	B075772R3T	NewItem	SELLABLE	0
5F7634B8-BLACK-S	B0797YD9PY	B0797YD9PY	NewItem	SELLABLE	0
7F4008D2 - BLACK - SIZE 6X	B01NCF7QFJ	B01NCF7QFJ	NewItem	SELLABLE	0
5F7634B8-BLACK-M	B07576L7NM	B07576L7NM	NewItem	SELLABLE	0
5S65438-Berry-XL	B06XT53B1J	B06XT53B1J	NewItem	SELLABLE	0
5S85438-TEAL-L	B079LNJWHK	B079LNJWHK	NewItem	SELLABLE	15
7F4008H2 - TAN - SIZE 4	B01NADNJRS	B01NADNJRS	NewItem	SELLABLE	0
5F7634B8-BLACK-XL	B07576Q9CX	B07576Q9CX	NewItem	SELLABLE	0
5S85438-BERRY-XL	B079LQZXGN	B079LQZXGN	NewItem	SELLABLE	0
5S65438-Black-S	B06XT59Z7L	B06XT59Z7L	NewItem	SELLABLE	0
5S85438-BLACK-M	B079LPLD5N	B079LPLD5N	NewItem	SELLABLE	15
5S85438-BLACK-M	B079LPLD5N	B079LPLD5N	NewItem	UNSELLABLE	1
5S85438-TEAL-M	B079M4BM9T	B079M4BM9T	NewItem	SELLABLE	0
5S85438-TEAL-M	B079M4BM9T	B079M4BM9T	NewItem	UNSELLABLE	1
5S83005-TURQUOISE-10/12	B079961F8H	B079961F8H	NewItem	SELLABLE	81
5S85438-BLACK-S	B079M4KV9Q	B079M4KV9Q	NewItem	SELLABLE	36
BKB0522S17-H.Gry-14/16	B072JNFP96	B072JNFP96	NewItem	SELLABLE	0
5S86237-CHARCOAL-L	B079J3S591	B079J3S591	NewItem	SELLABLE	20
5S86237-CHARCOAL-L	B079J3S591	B079J3S591	NewItem	UNSELLABLE	1
5F7375B6-BLACK-10/12	B07576Z5JN	B07576Z5JN	NewItem	SELLABLE	67
5S65438-Black-XL	B06XSLVZF6	B06XSLVZF6	NewItem	SELLABLE	0
5S83005-RED-14/16	B07991HP4B	B07991HP4B	NewItem	SELLABLE	80
5S86237-NAVY-2XL	B079J58LVR	B079J58LVR	NewItem	SELLABLE	46
7F4008H2 - TAN - SIZE 5/6	B01N59TWHM	B01N59TWHM	NewItem	SELLABLE	0
BKB0522S17-H.Gry-8	B072JNFQKY	B072JNFQKY	NewItem	SELLABLE	0
5S85438-BLACK-L	B079LVK8RD	B079LVK8RD	NewItem	SELLABLE	60
7F50413-TAN-14	B013USLMQO	B013USLMQO	NewItem	SELLABLE	0
5S73645-ESTATE BLUE(414)-18/20	B07N33JNDB	B07N33JNDB	NewItem	SELLABLE	13
5S86237-CHARCOAL-2XL	B079J628Q2	B079J628Q2	NewItem	SELLABLE	69
5S65438-Berry-XS	B06XSZ3JVR	B06XSZ3JVR	NewItem	SELLABLE	0
BKB0522S17-BLK-8	B071WD5HDQ	B071WD5HDQ	NewItem	SELLABLE	0
5S65438-Black-2X	B06XSLSH12	B06XSLSH12	NewItem	SELLABLE	0
5S83005-GREY(020)-10/12	B07N345FKK	B07N345FKK	NewItem	SELLABLE	60
5S83005-TURQUOISE-8	B07994B2YS	B07994B2YS	NewItem	SELLABLE	41
BKB0523S17-BU/HT-8	B071ZT65MN	B071ZT65MN	NewItem	SELLABLE	0
5S73645-ESTATE BLUE(414)-10/12	B07N34Y4LW	B07N34Y4LW	NewItem	SELLABLE	85
7F4008D2 - BLACK - SIZE 5/6	B01N59TXUV	B01N59TXUV	NewItem	SELLABLE	0
5F7634B7-BLACK-M	B0757448WZ	B0757448WZ	NewItem	SELLABLE	0
5S65438-Black-L	B06XSTWGWP	B06XSTWGWP	NewItem	SELLABLE	0
7F50413-TAN-10/12	B013USLMXW	B013USLMXW	NewItem	SELLABLE	0
BKB0523S17-BU/HT-14/16	B072JNFMHP	B072JNFMHP	NewItem	SELLABLE	0
5S83005-TURQUOISE-14/16	B079915L7Z	B079915L7Z	NewItem	SELLABLE	93
5S73645-GREY-14/16	B0798Y2VTZ	B0798Y2VTZ	NewItem	SELLABLE	69
7F4008D2 - VANILLA - SIZE 6X	B01MZZQOGX	B01MZZQOGX	NewItem	SELLABLE	0
5S85438-TEAL-XL	B079LS3BGR	B079LS3BGR	NewItem	SELLABLE	41
5S86237-NAVY-XL	B079J4L4ZJ	B079J4L4ZJ	NewItem	SELLABLE	40
5S86237-CHARCOAL-XL	B079J4YWYK	B079J4YWYK	NewItem	SELLABLE	21
5S83005-GREY(020)-18/20	B07N3435QH	B07N3435QH	NewItem	SELLABLE	16
5S85438-BERRY-S	B079LSTF4Y	B079LSTF4Y	NewItem	SELLABLE	0
BKB0523S17-BU/HT-10/12	B071FV5DBP	B071FV5DBP	NewItem	SELLABLE	0
5F7374B6-BLACK-7/8	B07573Y2RP	B07573Y2RP	NewItem	SELLABLE	0
5S73645-DEEP BLACK(001)-14/16	B07N334G65	B07N334G65	NewItem	SELLABLE	29
5S86237-BLACK-M	B079J4TJMR	B079J4TJMR	NewItem	SELLABLE	0
5S86237-CHARCOAL-M	B079J53BL6	B079J53BL6	NewItem	SELLABLE	0
5S85438-BLACK-XL	B079M372QT	B079M372QT	NewItem	SELLABLE	19
B01KIDGHIM	B01KIDGHIM	B01KIDGHIM	NewItem	SELLABLE	0
5S83005-GREY(020)-14/16	B07N33GKJ1	B07N33GKJ1	NewItem	SELLABLE	54
7F4008D2 - BLACK - SIZE 4	B01N48EQAD	B01N48EQAD	NewItem	SELLABLE	0
5S73645-ESTATE BLUE(414)-8	B07N344F46	B07N344F46	NewItem	SELLABLE	23
5S73645-DEEP BLACK(001)-8	B07N344F44	B07N344F44	NewItem	SELLABLE	33
5S65438-Berry-S	B06XSM3LJF	B06XSM3LJF	NewItem	SELLABLE	0
7F50413-TAN-16	B013USLSBI	B013USLSBI	NewItem	SELLABLE	0
BKB0522S17-BLK-14/16	B072Q5S8V8	B072Q5S8V8	NewItem	SELLABLE	0
5S73645-ESTATE BLUE(414)-14/16	B07N33LHV4	B07N33LHV4	NewItem	SELLABLE	43
5S73645-DEEP BLACK(001)-10/12	B07N34F6GZ	B07N34F6GZ	NewItem	SELLABLE	70
7F50413-TAN-7/8	B013USKCEW	B013USKCEW	NewItem	SELLABLE	0
5S65438-Berry-2XL	B079M9LKB2	B079M9LKB2	NewItem	SELLABLE	0
5S65438-Black-M	B06XT6J2NH	B06XT6J2NH	NewItem	SELLABLE	0
5S65438-Berry-L	B06XSP611R	B06XSP611R	NewItem	SELLABLE	0
5S86237-BLACK-L	B079J3F2MX	B079J3F2MX	NewItem	SELLABLE	0
7F4008D2 - VANILLA - SIZE 4	B01N9C25FM	B01N9C25FM	NewItem	SELLABLE	0
5F7634B8-BLACK-L	B07577KK9J	B07577KK9J	NewItem	SELLABLE	0
5S83005-RED-8	B07992J635	B07992J635	NewItem	SELLABLE	36
7F4008H2 - TAN - SIZE 6X	B01N2ODFD0	B01N2ODFD0	NewItem	SELLABLE	0
5S86237-BLACK-XL	B079J4VXVC	B079J4VXVC	NewItem	SELLABLE	11
5F7375B6-BLACK-5/6	B07577F42D	B07577F42D	NewItem	SELLABLE	0
5S85438-TEAL-S	B079LPLB4J	B079LPLB4J	NewItem	SELLABLE	0
5S73645-GREY-8	B07993L3T4	B07993L3T4	NewItem	SELLABLE	32
BKB0522S17-H.Gry-10/12	B071ZT6S2Y	B071ZT6S2Y	NewItem	SELLABLE	0
5S85438-BERRY-M	B079LPRVBT	B079LPRVBT	NewItem	SELLABLE	0
BKB0523S17-CHR-14/16	B071WD5BLN	B071WD5BLN	NewItem	SELLABLE	0
5S83005-GREY(020)-8	B07N34NFXS	B07N34NFXS	NewItem	SELLABLE	37
5S86237-NAVY-M	B079J6FG5X	B079J6FG5X	NewItem	SELLABLE	0
5S65438-Black-XS	B06XSWZ49Y	B06XSWZ49Y	NewItem	SELLABLE	0
5F7375B6-BLACK-14/16	B075777GRP	B075777GRP	NewItem	SELLABLE	1524
5S83005-RED-10/12	B07997DZ6V	B07997DZ6V	NewItem	SELLABLE	137
5F7634B7-BLACK-L	B07573XZQC	B07573XZQC	NewItem	SELLABLE	0
5F7634B8-BLACK-2XL	B07576Q55N	B07576Q55N	NewItem	SELLABLE	0
5F7634B7-BLACK-2XL	B07577C1L5	B07577C1L5	NewItem	SELLABLE	0
5S73645-GREY-18/20	B0798ZLT12	B0798ZLT12	NewItem	SELLABLE	31
5S86237-BLACK-2XL	B079J4VT6Z	B079J4VT6Z	NewItem	SELLABLE	39
5F7375B6-BLACK-18	B07576GM33	B07576GM33	NewItem	SELLABLE	327
5S85438-BERRY-L	B079LSFQQF	B079LSFQQF	NewItem	SELLABLE	18
5S86237-NAVY-L	B079J5CTCS	B079J5CTCS	NewItem	SELLABLE	56
BKB0523S17-CHR-10/12	B072M87TBT	B072M87TBT	NewItem	SELLABLE	0
7F4008D2 - VANILLA - SIZE 5/6	B01NCEWAGA	B01NCEWAGA	NewItem	SELLABLE	0
BKB0522S17-BLK-10/12	B071ZT58BV	B071ZT58BV	NewItem	SELLABLE	0
5S83005-RED-18/20	B0799BY3T3	B0799BY3T3	NewItem	SELLABLE	46
5S65438-Berry-M	B06XT3TLP4	B06XT3TLP4	NewItem	SELLABLE	0
5F7375B6-BLACK-7/8	B075769TL8	B075769TL8	NewItem	SELLABLE	0
5S73645-GREY-10/12	B0799773ZR	B0799773ZR	NewItem	SELLABLE	160
5S83005-TURQUOISE-18/20	B07995S8QN	B07995S8QN	NewItem	SELLABLE	46
C911988-GRAVEL-S	B07B86CTMT	B07B86CTMT	NewItem	SELLABLE	7
C941178X-BLACK-3XL	B07B8BQSX2	B07B8BQSX2	NewItem	SELLABLE	0
C911988-WHITE-M	B07B86YKSP	B07B86YKSP	NewItem	SELLABLE	0
C911978-BLACK/YELLOW-M	B07B85QSW5	B07B85QSW5	NewItem	SELLABLE	0
BKT0039S17-BLU-14/16	B072Q6C4F1	B072Q6C4F1	NewItem	SELLABLE	0
