sku	asin	price	quantity	Business Price	Quantity Price Type	Quantity Lower Bound 1	Quantity Price 1	Quantity Lower Bound 2	Quantity Price 2	Quantity Lower Bound 3	Quantity Price 3	Quantity Lower Bound 4	Quantity Price 4	Quantity Lower Bound 5	Quantity Price 5
HBP9717-GREY(020)-14/16	B07T3FDSW8	21.99													
HBP9717-GREY(020)-18	B07T1DSFFN	21.99													
HBP9717-GREY(020)-6/7	B07SZ99WWX	21.99													
HBP9717-GREY(020)-8	B07T1DSTTK	21.99													
HBP9717-KHAKI(216)-10/12	B07T3FKJ5G	21.99													
HBP9717-KHAKI(216)-14/16	B07T4GKS5R	21.99													
HBP9717-KHAKI(216)-18	B07T4HPPL7	21.99													
HBP9717-KHAKI(216)-4/5	B07T3DVVQK	21.99													
HBP9717-KHAKI(216)-6/7	B07T2FBC2X	21.99													
HBP9717-KHAKI(216)-8	B07T3DHXM1	21.99													
HBP9717-MAROON(623)-10/12	B07T3G3H6Y	21.99													
HBP9717-MAROON(623)-14/16	B07T4HPPL8	21.99													
HBP9717-MAROON(623)-18	B07T3DD34R	21.99													
HBP9717-MAROON(623)-4/5	B07T2FBVKR	21.99													
HBP9717-MAROON(623)-6/7	B07T3G8WW5	21.99													
HBP9717-MAROON(623)-8	B07T3GNLVC	21.99													
HBP9717-OLIVE CAMO(955)-10/12	B07T3FVHC5	21.99													
HBP9717-OLIVE CAMO(955)-14/16	B07T2FBW5G	21.99													
HBP9717-OLIVE CAMO(955)-18	B07T3G464K	21.99													
HBP9717-OLIVE CAMO(955)-8	B07T3HD691	21.99													
HBW00187-BLK HTHR-10/12	B0773V7VQ5	9.99													
HBW00187-BLK HTHR-8	B0773TLGV3	9.99													
HBW00187-Blue/Black-14/16	B0773STJMY	9.99													
HBW00187-Blue/Black-8	B0773T2LRY	14.99													
HMW00057-Black-10/12	B0773R8J6M	22.99													
HMW00057-Black-14/16	B0773V53G9	16.99													
HMW00057-Black-18/20	B0773RG3WL	16.99													
HMW00057-RED-14/16	B0773W675L	16.99													
L419787 - BLACK - SIZE 4	B06XC7NF16	5.99													
L419787 - COBALT - SIZE 4	B06XC7W58W	5.99													
L815248-BlueCombo-8	B07C57JLJ6	7.99													
L815248-Green-8	B07C57Q6LW	7.99													
L815628-Grey-8	B07C5813TC	7.99													
L845765-YELLOW-14/16	B0799S66KF	11.99		16.99	percent	5	5.00								
L858788-WHITE-18/20	B0799T7LR9	8.99		20.99	percent	5	5.00								
L914818-BLACK(001)-L	B0763YDBK4	19.99													
L915268-ORANGE(800)-S	B0763WR296	16.99													
L918777 - BLUE - SIZE S	B06XC5V4LY	18.99		18.99	percent	5	5.00								
L919644 - Asphalt - M	B071QXVC69	12.99													
L919644 - CHARCOAL - SIZE 2XL	B00JJGEMPK	6.99													
L919644 - CHARCOAL - SIZE L	B00JJGEJAI	6.99													
L919644 - CHARCOAL - SIZE M	B00JJGEK1Q	6.99													
L919644 - CHARCOAL - SIZE S	B00JJGEKRU	9.99													
L919644 - CHARCOAL - SIZE XL	B00JJGELPQ	6.99													
L919644 - OCEAN BLUE - SIZE M	B06XC5X5YB	9.99													
L919644-BLUE/HEATHER(434)-L	B07643VC67	9.99													
L919644-BLUE/HEATHER(434)-M	B07641MCLT	9.99													
L943134-AmparoBlue-L	B075RPHVYP	16.99		18.99	percent	5	5.00								
L943134-AmparoBlue-M	B075RV4VML	16.99		26.0	percent	5	5.00								
L943134-Black/Concrete-2XL	B00QT9RQL2	18.99		18.99	percent	5	5.00								
L943134-Black/Concrete-XL	B00QT9RQJY	18.99		18.99	percent	5	5.00								
L943134-Blue-2XL	B075RTWMRB	16.99		21.99	percent	5	5.00								
L943134-Blue-M	B075RRK8RF	14.99		19.99	percent	5	5.00								
L943134-Blue-XL	B075S31HQ2	14.99		19.99	percent	5	5.00								
L943134-Green-2XL	B075RX5NFP	14.99		23.99	percent	5	5.00								
L943134-Green-L	B075RV4X59	14.99		16.99	percent	5	5.00								
L943134-Green-M	B075RV4X4M	14.99		19.99	percent	5	5.00								
L943134-Grey-L	B075RV6TT2	14.99		19.99	percent	5	5.00								
L943134-Grey-M	B075RTY73Y	16.99		19.99	percent	5	5.00								
L943134-White/Grey-2XL	B075RPHVY2	14.99		21.99	percent	5	5.00								
L943134-White/Grey-L	B075RV4X4L	14.99		21.99	percent	5	5.00								
L943134-White/Grey-M	B075RTWMQL	14.99		19.99	percent	5	5.00								
L943134-White/Grey-S	B075RRK8RJ	14.99		21.99	percent	5	5.00								
L943134-White/Grey-XL	B075RWV8PM	14.99		21.99	percent	5	5.00								
L958788-Charcoal/Black-2XL	B075SQKHVY	12.99		18.99	percent	5	5.00								
L958788-Charcoal/Black-M	B075SQXKL4	12.99		21.99	percent	5	5.00								
L958788-Charcoal/Black-S	B075SQSBBJ	12.99		18.99	percent	5	5.00								
LBS8032-NAVY(415)-14/16	B07NPBK77P	13.99													
LBS8032-NAVY(415)-18/20	B07NPDZQGF	13.99													
LBS9098-DRESSBLUE(415)-10/12	B07RDM8L1P	7.99													
LBS9098-DRESSBLUE(415)-14/16	B07RKYCSQC	7.99													
LBS9098-DRESSBLUE(415)-18/20	B07RKYBQ6J	7.99													
LBS9098-DRESSBLUE(415)-8	B07RHQ811X	7.99													
LBS9098-SALSA(622)-10/12	B07RFNJJ3D	7.99													
LBS9098-SALSA(622)-14/16	B07RJTKKSK	7.99													
LBS9098-SALSA(622)-18/20	B07RLM6MCM	7.99													
LBS9098-SALSA(622)-8	B07RJTL7NC	7.99													
LBS9100-DRESSBLUE(415)-10/12	B07RKYGP17	12.99													
LBS9100-DRESSBLUE(415)-14/16	B07RFNKT8R	12.99													
LBS9100-DRESSBLUE(415)-18/20	B07RDM9CF6	12.99													
LBS9100-DRESSBLUE(415)-8	B07RKYBMDY	12.99													
LBS9100-TEAL(622)-10/12	B07RDM9M4Y	17.99													
LBS9100-TEAL(622)-14/16	B07RDM8YV7	17.99													
LBS9100-TEAL(622)-18/20	B07RHQ88PQ	17.99													
LBS9161-BLACK(001)-10/12	B07NPKSPJZ	16.99													
LBS9161-BLACK(001)-14/16	B07NPC2VK4	15.99													
LBS9161-BLACK(001)-18/20	B07NP6MLX4	11.99													
LBS9161-BLACK/YELLOW(017)-10/12	B07NP2FMG7	17.99													
LBS9161-BLACK/YELLOW(017)-14/16	B07NP3M6VS	15.99													
LBS9161-BLACK/YELLOW(017)-18/20	B07NNTTJ76	14.99													
LBS9161-BLACK/YELLOW(017)-8	B07NNSFX5F	17.99													
LBS9161-HAWAIIAN OCEAN(447)-10/12	B07NNR6TTV	14.99													
LBS9161-HAWAIIAN OCEAN(447)-14/16	B07NNT3GV2	12.99													
